Economy,Year,Subgroup,Top Subgroup Level,Subgroup Level,Average/SE/N,Percent of firms with women participation in ownership,Percent of firms with majority women ownership,Percent of firms with a woman top manager,[B-READY] Percent of firms owned or managed by women among those that held a government contract in last 3 years,Proportion of permanent full-time workers that are women (%),Proportion of permanent full-time production workers that are women (%)*,Proportion of permanent full-time non-production workers that are women (%)*,Proportion of women workers offered formal training over last fiscal year (%)*,"Proportion of women workers offered formal training over last fiscal year (%, only service sector)"
Malaysia,2019,Sector,Manufacturing,Food,Average,57,35.2,41.9,,59,55.3,63.5,,
Malaysia,2019,Sector,Manufacturing,Textiles & Garments,Average,80.7,12,58.8,,55.8,44.8,71.9,,
Malaysia,2019,Sector,Manufacturing,Chemicals & Chemical Products,Average,25.7,7.8,11.2,,30.7,16.5,60.5,,
Malaysia,2019,Sector,Manufacturing,Pharmaceuticals & Medical Products,Average,69.5,35.5,35.2,,51.3,48.6,55.6,,
Malaysia,2019,Sector,Manufacturing,Rubber & Plastics Products,Average,45.4,4.2,15.5,,31.7,22.6,60.2,,
Malaysia,2019,Sector,Manufacturing,Machinery & Equipment,Average,52.3,34.3,44.6,,18.2,6.8,48.9,,
Malaysia,2019,Sector,Manufacturing,Electronics,Average,33.5,17.8,20.9,,36.4,30.4,58.4,,
Malaysia,2019,Sector,Manufacturing,Motor Vehicles,Average,38.2,6.6,16.4,,24.5,11.4,51.5,,
Malaysia,2019,Sector,Manufacturing,Wood Products & Furniture,Average,41.9,5.2,6.4,,18,12.3,28.6,,
Malaysia,2019,Sector,Manufacturing,Other Manufacturing,Average,32.3,12.1,21.6,,25.9,19.7,52.8,,
Malaysia,2019,Sector,Services,All,Average,39.9,20.8,36.4,,40.1,,,,
Malaysia,2019,Sector,Services,Retail,Average,38.6,30,44,,45.9,,,,
Malaysia,2019,Sector,Services,Hospitality & Tourism,Average,44.9,24.3,42.5,,49.4,,,,
Malaysia,2019,Sector,Services,IT & IT Services,Average,24.2,1.4,19.4,,31,,,,
Malaysia,2019,Sector,Services,Other Services,Average,42.3,10.3,27.3,,31.4,,,,
Malaysia,2019,Size,,Medium (20-99),Average,39.6,11.8,22.4,,39.2,19.9,49.3,,
Malaysia,2019,Size,,Small (5-19),Average,42.7,24,39.2,,38.3,28.3,46.4,,
Malaysia,2019,Size,,Large (100+),Average,24.7,4.1,19.7,,26.2,24,54.3,,
Malaysia,2019,Gender of Top Manager,,Top manager is female,Average,79.3,49.1,100,,48.6,41.4,61.1,,
Malaysia,2019,Gender of Top Manager,,Top manager is male,Average,21.8,4.8,0,,32.7,19,45.3,,
Mali,2007,,,,Average,18.3,,,,7.3,7.1,10.9,,
Mali,2007,Sector,Manufacturing,All,Average,17.3,,,,7.3,7.1,10.9,,
Mali,2007,Sector,Manufacturing,Food,Average,20,,,,6.2,6.9,6.7,,
Mali,2007,Sector,Manufacturing,Garments,Average,15.1,,,,9.8,9.4,15.4,,
Mali,2007,Sector,Manufacturing,Rest of Universe-Manufacturing,Average,17.4,,,,5.2,4.5,11.4,,
Mali,2007,Sector,Services,All,Average,20.2,,,,,,,,
Mali,2007,Sector,Services,Retail & IT,Average,11.2,,,,,,,,
Mali,2007,Sector,Services,Rest of Universe-Services,Average,32.4,,,,,,,,
Mali,2007,Size,,Small (5-19),Average,17.7,,,,7.8,7.6,11.6,,
Mali,2007,Size,,Medium (20-99),Average,17,,,,5.8,5.6,9,,
Mali,2007,Size,,Large (100+),Average,56.6,,,,,,n.a.,,
Mali,2010,,,,Average,58.3,14.6,21,,29.7,30.9,30,,
Mali,2010,Sector,Manufacturing,All,Average,54.6,7.6,19.3,,34.5,30.9,30,,
Mali,2010,Sector,Manufacturing,Manufacturing,Average,54.6,7.6,19.3,,34.5,30.9,30,,
Mali,2010,Sector,Services,All,Average,62,21.7,22.1,,26.4,,,,
Mali,2010,Sector,Services,Retail,Average,,,n.a.,,n.a.,,,,
Mali,2010,Sector,Services,Other Services,Average,62,21.7,22.5,,27,,,,
Mali,2010,Size,,Small (5-19),Average,58.5,17.9,24.1,,30.8,29.7,24.8,,
Mali,2010,Size,,Medium (20-99),Average,59.5,5.5,8.6,,25.7,36.1,36.8,,
Mali,2010,Size,,Large (100+),Average,42,0,8.2,,15.7,n.a.,n.a.,,
Mali,2010,Gender of Top Manager,,Top manager is female,Average,94.7,65.5,100,,49.3,58,44,,
Mali,2010,Gender of Top Manager,,Top manager is male,Average,49.9,2.9,0,,23.9,26.8,28,,
Mali,2016,,,,Average,15.3,9.1,11.6,,19.1,8.3,14.4,,
Mali,2016,Sector,Manufacturing,All,Average,13.3,7.4,3.5,,9.3,8.3,14.4,,
Mali,2016,Sector,Manufacturing,Manufacturing,Average,13.3,7.4,3.5,,9.3,8.3,14.4,,
Mali,2016,Sector,Services,All,Average,16.1,9.9,14.9,,23,,,,
Mali,2016,Sector,Services,Services,Average,16.1,9.9,14.9,,23,,,,
Mali,2016,Size,,Small (5-19),Average,13.2,12,13,,22.8,7,7.5,,
Mali,2016,Size,,Medium (20-99),Average,13.1,1.5,8.3,,14.1,7.2,16.8,,
Mali,2016,Size,,Large (100+),Average,34,17.9,13.6,,13.7,14.9,20.1,,
Mali,2016,Gender of Top Manager,,Top manager is female,Average,70.9,67.7,100,,31.9,n.a.,n.a.,,
Mali,2016,Gender of Top Manager,,Top manager is male,Average,7.9,1.3,0,,17.4,8.2,11.3,,
Malta,2019,,,,Average,46,5.8,11.3,,28.1,22,34,,
Malta,2019,Sector,Manufacturing,All,Average,46.5,7.5,15.6,,24.3,22,34,,
Malta,2019,Sector,Manufacturing,Manufacturing,Average,46.5,7.5,15.6,,24.3,22,34,,
Malta,2019,Sector,Services,All,Average,45.9,5.3,10.2,,29.2,,,,
Malta,2019,Sector,Services,Services,Average,45.9,5.3,10.2,,29.2,,,,
Malta,2019,Size,,Small (5-19),Average,46.4,5.4,12.8,,29.5,26.9,37.3,,
Malta,2019,Size,,Medium (20-99),Average,46.7,7.5,10.4,,26,16.5,29.7,,
Malta,2019,Size,,Large (100+),Average,40.9,0,7.2,,30,n.a.,n.a.,,
Malta,2019,Gender of Top Manager,,Top manager is female,Average,84.5,26,100,,46.5,29.2,65.6,,
Malta,2019,Gender of Top Manager,,Top manager is male,Average,41.1,3.4,0,,25.7,20.7,27,,
Mauritania,2006,,,,Average,17.3,,,,5.1,2.6,11.6,,
Mauritania,2006,Sector,Manufacturing,All,Average,15.9,,,,5.1,2.6,11.6,,
Mauritania,2006,Sector,Manufacturing,Food,Average,16.6,,,,4,2.9,5.7,,
Mauritania,2006,Sector,Manufacturing,Garments,Average,n.a.,,,,n.a.,n.a.,n.a.,,
Mauritania,2006,Sector,Manufacturing,Other Manufacturing,Average,15.6,,,,5.8,2.4,14.4,,
Mauritania,2006,Sector,Services,All,Average,18,,,,,,,,
Mauritania,2006,Sector,Services,Retail,Average,14.5,,,,,,,,
Mauritania,2006,Sector,Services,Other Services,Average,19.4,,,,,,,,
Mauritania,2006,Size,,Small (5-19),Average,16.7,,,,5,2.9,10.8,,
Mauritania,2006,Size,,Medium (20-99),Average,19.5,,,,5.4,2.3,13.9,,
Mauritania,2006,Size,,Large (100+),Average,n.a.,,,,n.a.,n.a.,n.a.,,
Mauritania,2014,,,,Average,15,2.2,4.5,,12.9,3.7,14.2,,
Mauritania,2014,Sector,Manufacturing,All,Average,20.3,1.5,2,,7.8,3.7,14.2,,
Mauritania,2014,Sector,Manufacturing,Manufacturing,Average,20.3,1.5,2,,7.8,3.7,14.2,,
Mauritania,2014,Sector,Services,All,Average,12.5,2.5,5.6,,15.3,,,,
Mauritania,2014,Sector,Services,Services,Average,12.5,2.5,5.6,,15.3,,,,
Mauritania,2014,Size,,Small (5-19),Average,10.8,2,2,,14,0,25.8,,
Mauritania,2014,Size,,Medium (20-99),Average,17,1.9,7.2,,12.6,6.9,12.6,,
Mauritania,2014,Size,,Large (100+),Average,24,3.4,5.5,,9.5,3.1,6.5,,
Mauritania,2014,Gender of Top Manager,,Top manager is female,Average,91.8,37.5,100,,18.3,n.a.,n.a.,,
Mauritania,2014,Gender of Top Manager,,Top manager is male,Average,11.4,0.5,0,,12.6,3.8,12,,
Mauritius,2009,,,,Average,16.9,4.9,,,30,26.5,30.8,,
Mauritius,2009,Sector,Manufacturing,All,Average,13.3,5.1,,,28.9,26.5,30.8,,
Mauritius,2009,Sector,Manufacturing,Food,Average,22.1,5.6,,,38.8,36.3,30.9,,
Mauritius,2009,Sector,Manufacturing,Garments,Average,0,13.3,,,67.3,63.7,9.8,,
Mauritius,2009,Sector,Manufacturing,Other Manufacturing,Average,11.4,4.7,,,25.1,20.9,32.7,,
Mauritius,2009,Sector,Services,All,Average,21.5,4.7,,,31,,,,
Mauritius,2009,Sector,Services,Retail,Average,33.6,9.3,,,37.5,,,,
Mauritius,2009,Sector,Services,Other Services,Average,12.2,1.6,,,26.1,,,,
Mauritius,2009,Size,,Small (5-19),Average,22.2,5.8,,,30.3,20.8,31.5,,
Mauritius,2009,Size,,Medium (20-99),Average,9.7,3.5,,,27.4,30.3,33.2,,
Mauritius,2009,Size,,Large (100+),Average,8.6,2.6,,,34.4,40.6,21.3,,
Mauritius,2023,,,,Average,39.6,10.3,18.1,40.8,35,35.3,41.7,41,47.3
Mauritius,2023,Sector,Manufacturing,All,Average,36.2,11.7,9.8,37.6,35,35.3,41.7,41,
Mauritius,2023,Sector,Manufacturing,Manufacturing,Average,36.2,11.7,9.8,37.6,35,35.3,41.7,41,
Mauritius,2023,Sector,Services,All,Average,41,9.7,21.5,41.8,35,,,,47.3
Mauritius,2023,Sector,Services,Retail,Average,35.3,10.6,21.8,40.7,48.7,,,,41.9
Mauritius,2023,Sector,Services,Other Services,Average,43,9.4,21.5,42,30.3,,,,49.3
Mauritius,2023,Size,,Small (5-19),Average,37.9,12.8,25.1,39.9,35.1,34.5,49.2,21.4,28.5
Mauritius,2023,Size,,Medium (20-99),Average,42.8,9.5,12.5,36.7,33.2,38,31.4,58.7,53.3
Mauritius,2023,Size,,Large (100+),Average,37.1,0,5.5,56.4,39.9,31,49.7,41.7,69.7
Mauritius,2023,Gender of Top Manager,,Top manager is female,Average,83.3,26.6,100,100,49,50.1,50.2,48.7,49.9
Mauritius,2023,Gender of Top Manager,,Top manager is male,Average,29.7,6.2,0,31.6,31.4,32.5,40.6,40.9,46.7
Mexico,2006,,,,Average,24.8,,,,34.5,29.6,48.3,,
Mexico,2006,Sector,Manufacturing,All,Average,22.7,,,,34.5,29.6,48.3,,
Mexico,2006,Sector,Manufacturing,Food,Average,24.1,,,,37.3,28.1,55.6,,
Mexico,2006,Sector,Manufacturing,Textiles,Average,28,,,,40.9,40.7,40.3,,
Mexico,2006,Sector,Manufacturing,Garments,Average,35.5,,,,54.7,55.6,53.4,,
Mexico,2006,Sector,Manufacturing,Chemicals & Chemical Products,Average,24.4,,,,31.1,28.5,42.5,,
Mexico,2006,Sector,Manufacturing,Non-Metallic Mineral Products,Average,18.5,,,,18,14.4,36.3,,
Mexico,2006,Sector,Manufacturing,Machinery & Equipment,Average,12.8,,,,18.8,11.8,47.2,,
Mexico,2006,Sector,Manufacturing,Electronics,Average,21.7,,,,29.9,26,40.5,,
Mexico,2006,Sector,Manufacturing,Rest of Universe-Manufacturing,Average,21.9,,,,37.9,37.8,39.6,,
Mexico,2006,Sector,Services,All,Average,25.9,,,,,,,,
Mexico,2006,Sector,Services,Retail,Average,31.6,,,,,,,,
Mexico,2006,Sector,Services,IT & IT Services,Average,19.8,,,,,,,,
Mexico,2006,Sector,Services,Rest of Universe-Services,Average,21.3,,,,,,,,
Mexico,2006,Size,,Small (5-19),Average,26.5,,,,35.3,29.3,48.3,,
Mexico,2006,Size,,Medium (20-99),Average,17.5,,,,32.8,28,50.5,,
Mexico,2006,Size,,Large (100+),Average,30.5,,,,34.5,34.8,42.6,,
Mexico,2010,,,,Average,25.7,,14.6,,37.7,20.9,32.4,,
Mexico,2010,Sector,Manufacturing,All,Average,28.9,,16.2,,31,20.9,32.4,,
Mexico,2010,Sector,Manufacturing,Food,Average,36.6,,23.7,,44,35.4,46.8,,
Mexico,2010,Sector,Manufacturing,Garments,Average,28,,21.3,,59.7,64.2,47.6,,
Mexico,2010,Sector,Manufacturing,Chemicals & Chemical Products,Average,35.6,,17.2,,34.1,29.2,44,,
Mexico,2010,Sector,Manufacturing,Rubber & Plastics Products,Average,25.5,,8.2,,34.9,34.4,36.1,,
Mexico,2010,Sector,Manufacturing,Fabricated Metal Products,Average,16.5,,4.3,,17.9,11,33.3,,
Mexico,2010,Sector,Manufacturing,Machinery & Equipment,Average,7.2,,1.7,,5.9,5.9,42.2,,
Mexico,2010,Sector,Manufacturing,Furniture,Average,8.8,,2.1,,7.1,4.3,14.6,,
Mexico,2010,Sector,Manufacturing,Other Manufacturing,Average,28.5,,13.8,,16.9,13.4,25.7,,
Mexico,2010,Sector,Services,All,Average,22.9,,13.2,,43.8,,,,
Mexico,2010,Sector,Services,Retail,Average,22.8,,14.8,,55,,,,
Mexico,2010,Sector,Services,IT & IT Services,Average,31.4,,29.5,,45.3,,,,
Mexico,2010,Sector,Services,Other Services,Average,20.3,,6.3,,30,,,,
Mexico,2010,Size,,Large (100+),Average,13.8,,2.6,,42.4,33.9,40.8,,
Mexico,2010,Size,,Small (5-19),Average,32,,18.3,,36.4,15.2,30,,
Mexico,2010,Size,,Medium (20-99),Average,13.8,,10,,39.5,27.5,33.7,,
Mexico,2010,Gender of Top Manager,,Top manager is female,Average,61.2,,100,,49.9,23.4,38.1,,
Mexico,2010,Gender of Top Manager,,Top manager is male,Average,19.6,,0,,35.6,20.5,31.6,,
Mexico,2023,,,,Average,14.9,11.2,15.7,0.3,34.8,28.8,41.1,74.3,79
Mexico,2023,Sector,Manufacturing,All,Average,11.1,5,11.4,0.8,31.8,28.8,41.1,74.3,
Mexico,2023,Sector,Manufacturing,Food,Average,23,18,36.1,n.a.,36.4,34,46.8,89.3,
Mexico,2023,Sector,Manufacturing,Textiles,Average,12.9,8.9,5.8,n.a.,40.1,38.9,40.1,83.4,
Mexico,2023,Sector,Manufacturing,Garments,Average,29.5,12.2,16.7,n.a.,50.3,50.5,50.3,74.8,
Mexico,2023,Sector,Manufacturing,Other Manufacturing,Average,5.5,0.2,3.9,0.8,28,24.3,38.4,73.4,
Mexico,2023,Sector,Services,All,Average,16.2,13.4,17.1,0,35.8,,,,79
Mexico,2023,Sector,Services,Construction,Average,3.8,0,1.5,0,16,,,,82.5
Mexico,2023,Sector,Services,Retail,Average,15.1,11.1,15.5,n.a.,36.1,,,,75
Mexico,2023,Sector,Services,Hotels,Average,13.3,3.1,5.6,,47.1,,,,83.7
Mexico,2023,Sector,Services,Other Services,Average,19.1,18.1,21.6,n.a.,37.5,,,,82.5
Mexico,2023,Size,,Small (5-19),Average,19.2,15.4,19.5,0,36.9,29.9,42.4,61.4,75.8
Mexico,2023,Size,,Large (100+),Average,4.7,0.3,1,0,33.9,38.5,42.8,75.4,85.5
Mexico,2023,Size,,Medium (20-99),Average,4.7,1.5,8.4,0.7,28.7,24,39.2,80.6,87
Mexico,2023,Gender of Top Manager,,Top manager is female,Average,59.9,55.1,100,n.a.,51.2,30,47.1,59.2,98.7
Mexico,2023,Gender of Top Manager,,Top manager is male,Average,6.5,3,0,0.3,31.7,28.6,40.3,75.4,75
"Micronesia, Fed. Sts.",2009,,,,Average,86.8,,,,37.3,,,,
"Micronesia, Fed. Sts.",2009,Sector,Manufacturing,All,Average,68.3,,,,20,,,,
"Micronesia, Fed. Sts.",2009,Sector,Manufacturing,Manufacturing,Average,68.3,,,,20,,,,
"Micronesia, Fed. Sts.",2009,Sector,Services,All,Average,89.4,,,,39.7,,,,
"Micronesia, Fed. Sts.",2009,Sector,Services,Services,Average,89.4,,,,39.7,,,,
"Micronesia, Fed. Sts.",2009,Size,,Small (5-19),Average,79.5,,,,34.4,,,,
"Micronesia, Fed. Sts.",2009,Size,,Medium (20-99),Average,100,,,,42.6,,,,
Moldova,2009,,,,Average,53.1,,20.6,,40.7,48.5,49,,
Moldova,2009,Sector,Manufacturing,All,Average,53.2,,25.4,,48.8,48.5,49,,
Moldova,2009,Sector,Manufacturing,Manufacturing,Average,53.2,,25.4,,48.8,48.5,49,,
Moldova,2009,Sector,Services,All,Average,53,,19,,38,,,,
Moldova,2009,Sector,Services,Retail,Average,63.7,,29.9,,55,,,,
Moldova,2009,Sector,Services,Other Services,Average,44.6,,10.4,,24.3,,,,
Moldova,2009,Size,,Medium (20-99),Average,53.7,,14.5,,42.7,56.7,46.1,,
Moldova,2009,Size,,Small (5-19),Average,52.7,,24.6,,39.3,39.9,52.6,,
Moldova,2009,Size,,Large (100+),Average,53.2,,13.3,,43.9,59.7,43.1,,
Moldova,2009,Gender of Top Manager,,Top manager is female,Average,87.9,,100,,54.7,54.6,58.4,,
Moldova,2009,Gender of Top Manager,,Top manager is male,Average,44.1,,0,,37.1,46.3,45.4,,
Moldova,2013,,,,Average,54.1,24.2,22.4,,40.2,47.7,36,,
Moldova,2013,Sector,Manufacturing,All,Average,52.1,29.3,25.3,,44.9,47.7,36,,
Moldova,2013,Sector,Manufacturing,Manufacturing,Average,52.1,29.3,25.3,,44.9,47.7,36,,
Moldova,2013,Sector,Services,All,Average,54.5,23,21.7,,39.1,,,,
Moldova,2013,Sector,Services,Retail,Average,59.3,32.6,33,,53,,,,
Moldova,2013,Sector,Services,Other Services,Average,51.6,16.4,14.8,,30.3,,,,
Moldova,2013,Size,,Small (5-19),Average,53.2,26.5,22.9,,41.7,43.4,40,,
Moldova,2013,Size,,Medium (20-99),Average,56.8,19,23.5,,35.6,55.6,27.1,,
Moldova,2013,Size,,Large (100+),Average,54.1,10.3,8.8,,37.2,52,43.5,,
Moldova,2013,Gender of Top Manager,,Top manager is female,Average,98.8,79.4,100,,61.7,70.4,56,,
Moldova,2013,Gender of Top Manager,,Top manager is male,Average,41.1,8.4,0,,34,40.5,30.1,,
Moldova,2019,,,,Average,39.9,17.6,18.6,,39,38.9,43.2,,
Moldova,2019,Sector,Manufacturing,All,Average,35.9,9.3,14.5,,38.1,38.9,43.2,,
Moldova,2019,Sector,Manufacturing,Manufacturing,Average,35.9,9.3,14.5,,38.1,38.9,43.2,,
Moldova,2019,Sector,Services,All,Average,41.4,20.7,20.2,,39.3,,,,
Moldova,2019,Sector,Services,Retail,Average,57.6,33,45.7,,57.2,,,,
Moldova,2019,Sector,Services,Other Services,Average,34.6,15.5,9.4,,31.9,,,,
Moldova,2019,Size,,Small (5-19),Average,39.8,20.4,17.8,,39.4,28.7,37,,
Moldova,2019,Size,,Medium (20-99),Average,34.1,12.3,24,,37.9,46.4,51.4,,
Moldova,2019,Size,,Large (100+),Average,60.3,7.9,8.3,,39.2,62.9,49.6,,
Moldova,2019,Gender of Top Manager,,Top manager is female,Average,84,59.6,100,,64.7,52.1,57.6,,
Moldova,2019,Gender of Top Manager,,Top manager is male,Average,29.9,8.2,0,,33.2,36.3,40.4,,
Moldova,2024,,,,Average,39.4,17.7,21.6,32.5,38.2,38.5,56.3,57.3,36.8
Moldova,2024,Sector,Manufacturing,All,Average,25.8,3.3,14,9.9,43.4,38.5,56.3,57.3,
Moldova,2024,Sector,Manufacturing,Manufacturing,Average,25.8,3.3,14,9.9,43.4,38.5,56.3,57.3,
Moldova,2024,Sector,Services,All,Average,43.5,22.1,23.8,40.4,36.6,,,,36.8
Moldova,2024,Sector,Services,Services,Average,43.5,22.1,23.8,40.4,36.6,,,,36.8
Moldova,2024,Size,,Medium (20-99),Average,37.8,7,9.2,44.9,42.3,48.1,57,56.2,50.8
Moldova,2024,Size,,Small (5-19),Average,39,19.5,26.3,21.8,36.3,29.8,55.9,n.a.,28.8
Moldova,2024,Size,,Large (100+),Average,50.6,40.4,15.6,71.9,43.9,68.2,57,73.7,43.9
Moldova,2024,Gender of Top Manager,,Top manager is female,Average,90,74,100,100,45.2,82.9,74.1,n.a.,n.a.
Moldova,2024,Gender of Top Manager,,Top manager is male,Average,25.4,2.1,0,16.4,36.2,31,53,58,37.4
Mongolia,2009,,,,Average,52,,36.4,,48.6,53.3,53.9,,
Mongolia,2009,Sector,Manufacturing,All,Average,52,,39.5,,54.4,53.3,53.9,,
Mongolia,2009,Sector,Manufacturing,Manufacturing,Average,52,,39.5,,54.4,53.3,53.9,,
Mongolia,2009,Sector,Services,All,Average,52,,35.2,,46.4,,,,
Mongolia,2009,Sector,Services,Retail,Average,77.3,,66.5,,70.1,,,,
Mongolia,2009,Sector,Services,Other Services,Average,47.2,,29.4,,42,,,,
Mongolia,2009,Size,,Medium (20-99),Average,41.8,,25.9,,42.1,50.7,50.7,,
Mongolia,2009,Size,,Small (5-19),Average,65,,51.8,,57.1,56.7,56.8,,
Mongolia,2009,Size,,Large (100+),Average,39.8,,13.7,,39.3,52.7,59.1,,
Mongolia,2009,Gender of Top Manager,,Top manager is female,Average,93.3,,100,,63.7,54.2,63,,
Mongolia,2009,Gender of Top Manager,,Top manager is male,Average,28.4,,0,,39.9,52.7,48,,
Mongolia,2013,,,,Average,36.1,20.4,31,,44,55.7,46.8,,
Mongolia,2013,Sector,Manufacturing,All,Average,46.8,26.5,35.7,,50.8,55.7,46.8,,
Mongolia,2013,Sector,Manufacturing,Manufacturing,Average,46.8,26.5,35.7,,50.8,55.7,46.8,,
Mongolia,2013,Sector,Services,All,Average,32.9,18.7,29.6,,41.9,,,,
Mongolia,2013,Sector,Services,Retail,Average,69.5,47.1,66.8,,64.4,,,,
Mongolia,2013,Sector,Services,Other Services,Average,24.5,12.2,21.1,,36.6,,,,
Mongolia,2013,Size,,Small (5-19),Average,33.2,23.9,36.3,,47.2,52.9,41.8,,
Mongolia,2013,Size,,Medium (20-99),Average,39.5,18.7,28,,40.3,59.6,51.9,,
Mongolia,2013,Size,,Large (100+),Average,36.2,5.4,10.9,,42.5,46,46.8,,
Mongolia,2013,Gender of Top Manager,,Top manager is female,Average,78.8,61.4,100,,58.7,67.6,54.5,,
Mongolia,2013,Gender of Top Manager,,Top manager is male,Average,16.9,2.2,0,,37.4,48.3,42.1,,
Mongolia,2019,,,,Average,43.7,32.7,38.9,,51.4,68.7,60.9,,
Mongolia,2019,Sector,Manufacturing,All,Average,50.5,39.6,53,,66.8,68.7,60.9,,
Mongolia,2019,Sector,Manufacturing,Manufacturing,Average,50.5,39.6,53,,66.8,68.7,60.9,,
Mongolia,2019,Sector,Services,All,Average,42,30.9,35.3,,47.4,,,,
Mongolia,2019,Sector,Services,Retail,Average,41.6,35.1,37.7,,63.9,,,,
Mongolia,2019,Sector,Services,Other Services,Average,42,30,34.8,,43.7,,,,
Mongolia,2019,Size,,Small (5-19),Average,45.9,40.5,44.4,,55.9,67.8,59.8,,
Mongolia,2019,Size,,Medium (20-99),Average,40,16.7,26.9,,40.3,71.5,60.6,,
Mongolia,2019,Size,,Large (100+),Average,32.4,8.4,24.4,,50.7,69.1,71.9,,
Mongolia,2019,Gender of Top Manager,,Top manager is female,Average,92.8,83.2,100,,68.3,75.9,70.2,,
Mongolia,2019,Gender of Top Manager,,Top manager is male,Average,12.5,0.5,0,,40.5,59.6,50.8,,
Montenegro,2009,,,,Average,26,,24.5,,51.3,32.2,50.9,,
Montenegro,2009,Sector,Manufacturing,All,Average,11.2,,10.8,,36.5,32.2,50.9,,
Montenegro,2009,Sector,Manufacturing,Manufacturing,Average,11.2,,10.8,,36.5,32.2,50.9,,
Montenegro,2009,Sector,Services,All,Average,28.7,,27,,53.8,,,,
Montenegro,2009,Sector,Services,Retail,Average,33.6,,31,,58.7,,,,
Montenegro,2009,Sector,Services,Other Services,Average,26,,24.8,,51.3,,,,
Montenegro,2009,Size,,Small (5-19),Average,26.8,,28.7,,53.9,36.7,57.8,,
Montenegro,2009,Size,,Medium (20-99),Average,25.9,,8.8,,40.4,17.5,37.3,,
Montenegro,2009,Size,,Large (100+),Average,4.3,,3.9,,32.8,41.1,42.5,,
Montenegro,2009,Gender of Top Manager,,Top manager is female,Average,71.2,,100,,72.6,n.a.,n.a.,,
Montenegro,2009,Gender of Top Manager,,Top manager is male,Average,11.1,,0,,43.9,35.8,49.1,,
Montenegro,2013,,,,Average,25.6,10,19.2,,39,25.9,33.5,,
Montenegro,2013,Sector,Manufacturing,All,Average,19.7,4.5,8.7,,30,25.9,33.5,,
Montenegro,2013,Sector,Manufacturing,Manufacturing,Average,19.7,4.5,8.7,,30,25.9,33.5,,
Montenegro,2013,Sector,Services,All,Average,27,11.3,21.7,,41.1,,,,
Montenegro,2013,Sector,Services,Retail,Average,34.7,20.8,35.3,,67.4,,,,
Montenegro,2013,Sector,Services,Other Services,Average,23.6,7.2,15.7,,29.8,,,,
Montenegro,2013,Size,,Small (5-19),Average,25.4,12.7,22.5,,40.4,24.3,27.8,,
Montenegro,2013,Size,,Medium (20-99),Average,29,0.6,7.9,,33.6,30.4,56.4,,
Montenegro,2013,Size,,Large (100+),Average,10.7,0,4.7,,31.8,n.a.,n.a.,,
Montenegro,2013,Gender of Top Manager,,Top manager is female,Average,76.7,46.1,100,,52.6,n.a.,n.a.,,
Montenegro,2013,Gender of Top Manager,,Top manager is male,Average,13.4,1.4,0,,35.7,27.7,30.5,,
Montenegro,2019,,,,Average,24,14.8,15,,44,35.3,29.3,,
Montenegro,2019,Sector,Manufacturing,All,Average,13,4.6,6.7,,34.8,35.3,29.3,,
Montenegro,2019,Sector,Manufacturing,Manufacturing,Average,13,4.6,6.7,,34.8,35.3,29.3,,
Montenegro,2019,Sector,Services,All,Average,27.2,17.8,17.5,,46.9,,,,
Montenegro,2019,Sector,Services,Services,Average,27.2,17.8,17.5,,46.9,,,,
Montenegro,2019,Size,,Small (5-19),Average,24.1,19.4,17.7,,47.7,38.9,22.8,,
Montenegro,2019,Size,,Medium (20-99),Average,24,4.9,9,,36,21.6,50.6,,
Montenegro,2019,Size,,Large (100+),Average,21.8,1.7,9.9,,38.6,34.3,52.1,,
Montenegro,2019,Gender of Top Manager,,Top manager is female,Average,82.4,73.7,100,,68.9,32.7,62.4,,
Montenegro,2019,Gender of Top Manager,,Top manager is male,Average,13.6,4.5,0,,39.2,35.5,26.8,,
Montenegro,2023,,,,Average,24,11.8,13.5,25,39.9,31.3,68.9,58,86.4
Montenegro,2023,Sector,Manufacturing,All,Average,26.9,10.9,6.2,4.9,42,31.3,68.9,58,
Montenegro,2023,Sector,Manufacturing,Manufacturing,Average,26.9,10.9,6.2,4.9,42,31.3,68.9,58,
Montenegro,2023,Sector,Services,All,Average,23.2,12,15.6,32.1,39.3,,,,86.4
Montenegro,2023,Sector,Services,Services,Average,23.2,12,15.6,32.1,39.3,,,,86.4
Montenegro,2023,Size,,Small (5-19),Average,26.5,14.2,13.6,16.9,40,31.6,73.7,67.4,n.a.
Montenegro,2023,Size,,Medium (20-99),Average,16.2,3.7,4.6,4.4,43.3,30,53.1,25.5,67.4
Montenegro,2023,Size,,Large (100+),Average,11.4,0.5,33.3,76.5,29.8,37.1,60.5,n.a.,82.8
Montenegro,2023,Gender of Top Manager,,Top manager is female,Average,47.3,20.8,100,n.a.,58.3,63.4,92.8,n.a.,n.a.
Montenegro,2023,Gender of Top Manager,,Top manager is male,Average,20.3,10.4,0,14.3,37,29.1,67.3,57.1,85.1
Morocco,2013,,,,Average,31.3,3.5,4.3,,25.7,29.7,33.5,,
Morocco,2013,Sector,Manufacturing,All,Average,32.4,4.8,9,,25.1,29.7,33.5,,
Morocco,2013,Sector,Manufacturing,Food,Average,25.6,2.8,1.7,,34.4,35.5,29.9,,
Morocco,2013,Sector,Manufacturing,Garments,Average,44.5,12,18.6,,51.5,54.9,49,,
Morocco,2013,Sector,Manufacturing,Other Manufacturing,Average,31.9,3.9,9.1,,18.3,21.7,30.5,,
